Frame,Time,ArmorID,Truth_X,Truth_Y,Truth_Z,Pred_Polar_X,Pred_Polar_Y,Pred_Polar_Z,Pred_Cart_X,Pred_Cart_Y,Pred_Cart_Z,Error_Polar,Error_Cartesian
11,0.366667,-1,2.94355,0.525498,-0.230633,2.93478,0.557686,-0.228601,2.9271,0.555861,-0.228594,0.0334242,0.0345923
16,0.533333,-1,3.23198,0.796869,-0.291554,3.23409,0.875398,-0.234924,3.01339,0.512196,-0.234374,0.096841,0.363443
17,0.566667,-1,6.48024,1.64223,-0.57918,3.59871,0.825175,-0.234143,2.97702,0.475857,-0.231068,3.01494,3.70866
20,0.666667,-1,2.89674,0.53264,-0.270147,3.24933,0.780961,-0.292221,3.24479,0.810993,-0.2945,0.43182,0.446333
21,0.7,-1,2.99436,0.493493,-0.278997,4.97317,0.809258,-0.421599,6.5433,1.67182,-0.586933,2.00892,3.75211
22,0.733333,-1,3.02625,0.441624,-0.279903,6.17937,0.938279,-0.514835,6.87326,1.67284,-0.62512,3.20063,4.05395
23,0.766667,-1,3.34586,0.821241,-0.248306,5.33961,-0.344184,-0.470655,2.96428,0.609852,-0.277563,2.32006,0.437201
24,0.8,-1,3.1661,0.738424,-0.239826,5.29537,-0.786683,-0.447685,2.8688,0.532984,-0.270028,2.62735,0.362629
25,0.833333,-1,3.14412,0.68359,-0.241505,5.39445,-0.753318,-0.440644,2.96898,0.491792,-0.279098,2.67738,0.262438
26,0.866667,-1,7.36343,2.00354,-0.624034,6.86252,2.61447,-0.438463,3.00331,0.437595,-0.280125,0.81153,4.64554
27,0.9,-1,2.9449,0.532217,-0.228305,4.99101,1.24338,-0.447132,3.33689,0.832612,-0.247214,2.1772,0.494218
28,0.933333,-1,3.07261,0.496869,-0.238772,4.26047,1.11909,-0.362744,3.15219,0.749677,-0.238036,1.34669,0.265041
29,0.966667,-1,3.14708,0.453313,-0.24152,3.89843,0.880103,-0.31827,3.1275,0.691134,-0.239734,0.867505,0.238632
30,1,-1,3.32175,0.820538,-0.304209,4.83094,1.06774,-0.361844,7.57574,2.08203,-0.643061,1.5304,4.45002
31,1.03333,-1,3.03889,0.695807,-0.282413,3.85669,1.58083,-0.349093,2.9401,0.537415,-0.227934,1.20686,0.19446
32,1.06667,-1,2.99027,0.61938,-0.280781,3.64515,1.34299,-0.335259,3.03091,0.484837,-0.235036,0.977464,0.147804
33,1.1,-1,2.87544,0.527834,-0.272922,3.49199,1.05486,-0.328609,3.11185,0.438115,-0.238096,0.813013,0.255251
35,1.16667,-1,3.27704,0.827313,-0.245511,3.66005,1.28712,-0.274019,2.99882,0.700377,-0.282462,0.599113,0.308035
36,1.2,-1,3.213,0.766793,-0.245305,3.45724,1.04493,-0.267826,2.94437,0.61681,-0.280486,0.370841,0.309663
37,1.23333,-1,3.02966,0.668299,-0.2346,3.29794,0.850008,-0.260102,2.82085,0.517274,-0.271993,0.325024,0.260406
39,1.3,-1,2.9425,0.518791,-0.230501,3.28785,0.320904,-0.253665,3.29074,0.865356,-0.2401,0.398699,0.491395
40,1.33333,-1,3.06975,0.47291,-0.240716,3.37707,0.0797691,-0.249009,3.22537,0.802191,-0.239715,0.499069,0.364204
41,1.36667,-1,3.30532,0.837586,-0.299152,3.1376,0.914297,-0.282697,3.02596,0.694199,-0.228234,0.185164,0.321919
42,1.4,-1,3.03567,0.71356,-0.280431,2.96513,0.670098,-0.276609,2.88357,0.594795,-0.220444,0.0829396,0.202084
43,1.43333,-1,3.00434,0.635242,-0.2822,2.88878,0.568157,-0.272492,2.92859,0.528804,-0.223893,0.133973,0.143061
44,1.46667,-1,2.8367,0.526068,-0.268312,2.85947,0.448517,-0.271106,3.06819,0.477884,-0.23522,0.0808734,0.238756
45,1.5,-1,7.02703,1.76259,-0.522647,4.20027,0.879694,-0.27398,3.32719,0.876101,-0.299362,2.97185,3.81111
46,1.53333,-1,3.10184,0.418167,-0.289222,3.11488,-0.0334696,-0.272124,3.03361,0.743083,-0.279453,0.452148,0.332145
47,1.56667,-1,3.16914,0.740982,-0.242214,2.97542,0.762619,-0.226745,2.99644,0.655083,-0.281229,0.195532,0.196786
48,1.6,-1,2.99864,0.645483,-0.232241,2.87959,0.601626,-0.223335,2.81179,0.533612,-0.265987,0.127187,0.220383
49,1.63333,-1,7.06525,1.88288,-0.604008,4.56209,1.10451,-0.258376,7.43062,1.89557,-0.546311,2.64407,0.370117
51,1.7,-1,15.2107,3.51457,-0.750628,4.26818,1.17889,-0.253054,3.16186,0.763305,-0.23609,11.2001,12.3697
52,1.73333,-1,3.1853,0.791071,-0.290699,3.38455,0.871191,-0.303732,2.97343,0.660177,-0.224677,0.215156,0.257641
53,1.76667,-1,3.12089,0.719139,-0.290787,3.86577,1.02361,-0.349709,7.48537,2.03205,-0.637352,0.80686,4.57084
55,1.83333,-1,2.86625,0.519877,-0.272804,5.81162,0.670127,-0.472074,17.3771,4.01182,-0.816157,2.95593,14.935
